fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
bannei_early_sensitivity_P1_P1-H1_LOYO_2025,LOYO,2025,P1-H1,luhong,533,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",8.181818182,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2025,LOYO,2025,P1-H2,bannei,2568.3,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",8.363636364,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2025,LOYO,2025,P1-H2,hongming,3093,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",8.363636364,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2025,LOYO,2025,P1-H2,luhong,980.9,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",8.363636364,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2025,LOYO,2025,P1-H3,bannei,563.85,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 25}",5.636363636,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2025,LOYO,2025,P1-H3,hongming,552.0461538,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 25}",5.636363636,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2025,LOYO,2025,P1-H3,luhong,297.0346154,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 25}",5.636363636,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2026,LOYO,2026,P1-B0,bannei,123,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",8,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024;bannei_2025,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2026,LOYO,2026,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",8,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2026,LOYO,2026,P1-B0,luhong,130.5,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",8,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2026,LOYO,2026,P1-B1,bannei,25,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",11.81818182,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024;bannei_2025,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2026,LOYO,2026,P1-B1,hongming,14,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",11.81818182,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2026,LOYO,2026,P1-B1,luhong,8.5,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",11.81818182,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2026,LOYO,2026,P1-D1,bannei,60,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.090909091,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024;bannei_2025,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2026,LOYO,2026,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.090909091,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2026,LOYO,2026,P1-D1,luhong,41.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.090909091,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
