station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
bannei,haikou,2021-09-16,28.0,29.4,26.4,0.7,84,11.036802777777778,18.85,2.0,2.6,3.96,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-17,28.7,30.5,27.1,1.1,81,11.26351111111111,22.26,1.5,2.51,4.69,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-18,28.7,30.1,27.3,0.3,82,11.204919444444444,21.92,2.73,4.04,4.68,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-19,28.6,30.0,27.5,1.7,84,11.146383333333334,20.01,3.25,4.87,4.22,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-20,28.1,29.5,26.6,3.3,85,11.067533333333333,20.75,2.65,4.62,4.24,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-21,27.3,28.2,26.2,4.1,87,9.980197222222221,16.36,2.21,3.21,3.42,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-22,27.8,29.2,26.4,7.9,85,9.436455555555556,18.72,3.62,5.47,4.0,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-23,27.3,28.3,26.7,6.3,88,10.566980555555554,17.26,4.59,7.37,3.47,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-24,27.0,28.0,26.3,15.1,88,6.830902777777778,14.34,6.41,7.81,3.1,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-25,27.5,29.2,26.5,4.3,87,11.0,17.28,5.66,6.63,3.66,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
