context,model_id,alpha,inner_MAE_kg_mu,training_years
SENS-HM25_LOYO_outer_2023,Y-W2O,10,485.7611051,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W2O,100,496.9678916,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W2O,1000,502.3926745,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W2O,0.1,918.0775786,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W2O,1,483.1161814,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W2O,10,388.7790825,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W2O,100,377.1570767,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W2O,1000,381.0670785,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2025,Y-W2O,0.1,1192.285041,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W2O,1,854.8741773,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W2O,10,561.0122508,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W2O,100,477.0004438,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2025,Y-W2O,1000,472.3504554,2022;2023;2024;2026
SENS-HM25_LOYO_outer_2026,Y-W2O,0.1,1195.27035,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W2O,1,828.2289607,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W2O,10,548.434585,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W2O,100,494.7435149,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W2O,1000,493.47811,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2023,Y-W3P,0.1,608.0941431,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P,1,562.4789522,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P,10,531.683261,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P,100,501.075855,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P,1000,502.7784609,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P,0.1,845.259915,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P,1,582.4522295,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P,10,410.0368148,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P,100,378.39705,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2024,Y-W3P,1000,380.4699746,2022;2023;2025;2026
SENS-HM25_LOYO_outer_2026,Y-W3P,0.1,907.9199194,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P,1,676.7526497,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P,10,552.3973397,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P,100,508.1313919,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2026,Y-W3P,1000,495.1279437,2022;2023;2024;2025
SENS-HM25_LOYO_outer_2023,Y-W3P+PHENO,0.1,435.6441585,2022;2024;2025;2026
SENS-HM25_LOYO_outer_2023,Y-W3P+PHENO,1,407.6407677,2022;2024;2025;2026
